Annotation	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18
Acetivibrio	0	1	0	0	0	0	0	0	1	0	1	0
Acetobacter	5	0	3	7	5	4	6	4	1	0	0	0
Achromobacter	0	1	1	0	2	0	0	0	5	0	2	1
Acidaminococcus	1	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium	0	1	0	0	0	0	0	1	0	0	0	0
Acidobacterium	0	0	0	0	0	0	0	1	0	0	0	0
Acidocella	0	1	0	0	0	1	0	0	0	0	0	0
Acinetobacter	55	30	398	0	57	1	12	12	5	1	0	0
Actinomyces	0	0	0	1	0	0	0	0	4	1	0	0
Actinomycetospora	0	0	0	0	0	0	1	0	0	0	0	0
Actinopolyspora	0	1	0	0	1	1	1	0	0	0	0	0
Afipia	0	0	0	1	0	0	0	0	0	0	0	0
Agrobacterium	0	0	0	0	0	0	0	0	0	0	1	0
Agrococcus	0	0	0	0	0	0	0	0	0	0	0	1
Agromyces	0	0	1	0	0	1	0	0	0	0	1	2
Alcaligenes	0	0	1	0	5	2	2	0	0	0	1	0
Alicyclobacillus	0	0	0	1	0	0	0	0	0	0	0	0
Allobaculum	0	0	1	0	0	0	0	0	0	0	0	0
Anaerobranca	0	0	0	0	0	0	0	0	0	0	0	1
Anaerococcus	2	0	0	1	1	1	0	1	0	0	0	0
Anaerovorax	7	3	7	2	14	5	6	2	1	1	3	0
Aquamicrobium	0	0	0	1	0	0	0	0	0	0	0	0
Aquamonas	0	0	1	0	0	0	15	0	0	0	0	0
Arthrobacter	0	0	1	0	0	0	0	0	0	0	0	0
Aurantimonas	0	0	0	0	0	0	1	0	1	0	0	0
Azotobacter	0	0	0	1	0	0	0	0	0	0	0	0
Bacillus	1	2	2	0	2	1	1	3	4	2	1	0
Bacteriovorax	2	4	0	2	9	6	16	5	0	3	5	0
Bacteroides	5	1	8	0	7	3	9	8	1	2	7	1
Bdellovibrio	0	0	7	0	1	1	0	0	0	0	0	0
Beggiatoa	0	0	0	1	0	0	0	0	0	0	0	0
Bergeyella	0	2	2	3	0	2	0	2	1	10	2	2
Bifidobacterium	0	0	0	0	0	0	0	1	0	0	0	0
Blautia	7	2	63	7	1	1	1	2	284	89	118	123
Bordetella	0	0	0	1	0	1	0	0	0	0	1	0
Brachymonas	6	14	19	10	81	140	76	50	65	152	224	58
Bradyrhizobium	0	0	0	0	0	0	0	0	1	0	0	0
Brevibacillus	0	3	0	3	1	1	0	2	1	0	5	0
Brevibacterium	0	0	0	0	0	0	5	0	0	0	1	0
Brevundimonas	1	0	1	1	3	2	0	1	0	0	0	0
Burkholderia	6	0	9	0	1	0	2	2	0	0	0	1
Caedibacter	0	0	0	1	0	0	0	0	0	1	1	0
Caloramator	0	1	0	0	0	0	0	0	0	0	0	0
Candidatus_Armantifilum	0	0	0	0	0	0	0	0	0	2	1	0
Candidatus_Cryptoprodotis	0	0	0	0	0	0	0	0	0	1	1	0
Candidatus_Liberibacter	0	0	0	0	0	2	6	1	0	0	0	0
Candidatus_Midichloria	0	0	0	1	0	0	0	0	0	0	0	0
Candidatus_Nardonella	83	73	85	40	105	523	20	65	221	262	187	118
Candidatus_Symbiothrix	49	31	75	85	283	206	352	254	199	162	231	100
Carnobacterium	32	3	6	11	65	110	45	151	39	35	51	78
Catonella	0	0	0	0	0	0	0	0	0	0	1	0
Caulobacter	0	0	0	0	1	0	0	0	0	0	0	0
Cellulomonas	4	7	3	21	13	14	6	12	1	0	0	0
Cellulosimicrobium	7	2	1	1	0	1	4	0	0	0	0	0
Chlorobium	0	0	0	0	1	0	0	0	0	0	0	0
Chromobacterium	1	1	0	0	0	0	0	0	0	0	0	0
Chryseobacterium	53	30	107	1	4	9	1	0	1	0	1	1
Citrobacter	43	2	183	4	34	116	36	25	0	2	8	0
Clostridium	913	192	1063	339	1682	667	734	1582	17	21	25	43
Cohnella	0	0	0	0	172	104	71	7	0	0	0	0
Collimonas	1	1	0	0	0	0	0	0	0	0	0	0
Coprococcus	0	0	0	0	0	0	0	0	0	1	0	0
Coraliomargarita	0	0	0	0	0	0	0	1	0	0	0	0
Corynebacterium	4	2	0	1	5	0	1	5	6	0	1	1
Cupriavidus	1	0	0	0	1	0	0	0	0	0	0	0
Curtobacterium	1	0	0	0	0	0	0	0	0	0	0	0
Dechlorospirillum	0	0	0	0	0	0	0	0	0	1	0	0
Desulfitobacterium	0	0	0	0	0	0	2	2	0	0	3	3
Desulfosporomusa	0	1	0	0	0	0	0	0	0	0	0	0
Desulfosporosinus	0	0	3	2	1	7	1	1	3	3	6	0
Desulfotomaculum	0	0	0	0	1	0	0	0	0	0	0	0
Desulfovibrio	13	12	9	12	22	13	21	10	26	37	38	79
Desulfurispirillum	1	0	0	0	0	0	0	0	0	0	0	0
Devosia	0	0	0	0	0	0	0	0	0	1	0	0
Duganella	0	0	0	1	0	0	0	0	0	0	0	0
Dyadobacter	0	0	0	0	0	0	0	0	1	0	0	0
Dysgonomonas	15	10	9	12	81	35	39	44	37	34	47	34
Elusimicrobium	1	3	2	3	1	3	3	2	0	0	1	0
Enterobacter	0	1	10	3	0	2	0	0	1	2	10	2
Enterococcus	76	7	70	28	234	484	244	601	201	125	252	358
Entomoplasma	0	0	0	0	1	0	0	0	0	0	0	0
